Модель,Магазин,Цена (грн),Отклонение от РРЦ (%),Ссылка
Nova Tec NT-S 50,Enko,3113.0,-15.84%,https://hotline.ua/go/price/13648243183/
Nova Tec NT-S 50,АйТіФрі,3269.0,-11.62%,https://hotline.ua/go/price/13837037813/
Nova Tec NT-S 50,ЭЛМАГ,3238.0,-12.46%,https://hotline.ua/go/price/13175764981/
Nova Tec NT-S 50,Світ Дім,4500.0,+21.65%,https://hotline.ua/go/price/13454637159/
Nova Tec NT-S 50,LEOX,3850.0,+4.08%,https://hotline.ua/go/price/13783874758/
Nova Tec NT-S 50,BigStore,3799.0,+2.70%,https://hotline.ua/go/price/13706468092/
Nova Tec NT-S 50,Техномастер,3205.0,-13.35%,https://hotline.ua/go/price/13615674163/
Nova Tec NT-S 50,TehnoAge,3699.0,+0.00%,https://hotline.ua/go/price/13615277629/
Nova Tec NT-S 50,Дешевле Нет,3257.0,-11.95%,https://hotline.ua/go/price/13428460442/
Nova Tec NT-S 50,ТЕХНОПРОФІ,3741.0,+1.14%,https://hotline.ua/go/price/13794142066/
Nova Tec NT-S 50,pro100market.com.ua,3536.0,-4.41%,https://hotline.ua/go/price/13794109214/
Nova Tec NT-S 50,МІКСЕР.store,3484.0,-5.81%,https://hotline.ua/go/price/13694420088/
Nova Tec NT-S 50,ТопТехник,3286.0,-11.17%,https://hotline.ua/go/price/13547093335/
Nova Tec NT-S 50,Tehnopostavka,3509.0,-5.14%,https://hotline.ua/go/price/13828608147/
Nova Tec NT-S 50,ТЕРМОГАЗ,3724.0,+0.68%,https://hotline.ua/go/price/13839436134/
Nova Tec NT-S 50,ЗП-Техника (Zp-Tehnika),3290.0,-11.06%,https://hotline.ua/go/price/13538192644/
Nova Tec NT-S 50,Сенюшко,3454.0,-6.62%,https://hotline.ua/go/price/13775755876/
Nova Tec NT-S 50,CAN.UA,3699.0,+0.00%,https://hotline.ua/go/price/13698180798/
Nova Tec NT-S 50,Інтернет-магазин АП,3220.0,-12.95%,https://hotline.ua/go/price/13837137622/
Nova Tec NT-S 50,ЖУК,3258.0,-11.92%,https://hotline.ua/go/price/13260272057/
Nova Tec NT-S 50,ТЕХНОСТАР,3801.0,+2.76%,https://hotline.ua/go/price/13741659821/
Nova Tec NT-S 50,Setevuha,3582.0,-3.16%,https://hotline.ua/go/price/13491259277/
Nova Tec NT-S 50,Leyka.com.ua,3860.0,+4.35%,https://hotline.ua/go/price/13782973382/
Nova Tec NT-S 50,XFROST,3699.0,+0.00%,https://hotline.ua/go/price/13827641267/
Nova Tec NT-S 50,Комплект,3358.0,-9.22%,https://hotline.ua/go/price/13674349923/
Nova Tec NT-S 50,TEHNOHATA.UA,3298.0,-10.84%,https://hotline.ua/go/price/13698616265/
Nova Tec NT-S 50,iCom.net.ua,3699.0,+0.00%,https://hotline.ua/go/price/13839891230/
Nova Tec NT-S 50,ТВ МИР,3628.0,-1.92%,https://hotline.ua/go/price/13687223442/
Nova Tec NT-S 50,PROSTIR-TEPLA,4150.0,+12.19%,https://hotline.ua/go/price/13798180568/
Nova Tec NT-S 50,Нова Тек,3649.0,-1.35%,https://hotline.ua/go/price/13824525290/
Nova Tec NT-S 50,Школяр,3699.0,+0.00%,https://hotline.ua/go/price/13830246245/
Nova Tec NT-S 50,Maxishara,3549.0,-4.06%,https://hotline.ua/go/price/13794096293/
Nova Tec NT-S 50,Nimpha,3699.0,+0.00%,https://hotline.ua/go/price/13821314943/
Nova Tec NT-S 50,FIXER,3282.0,-11.27%,https://hotline.ua/go/price/13820674625/
Nova Tec NT-S 50,НКТ,3708.0,+0.24%,https://hotline.ua/go/price/13715670015/
Nova Tec NT-S 50,ТЕХНОмаркет,3549.0,-4.06%,https://hotline.ua/go/price/13832608504/
Nova Tec NT-S 50,Sota Store,3699.0,+0.00%,https://hotline.ua/go/price/13832583644/
Nova Tec NT-S 50,Dom365,3860.0,+4.35%,https://hotline.ua/go/price/13828256269/
Nova Tec NT-S 50,Акваклимат,3860.0,+4.35%,https://hotline.ua/go/price/13803723711/
Nova Tec NT-S 50,TTT.UA,3699.0,+0.00%,https://hotline.ua/go/price/13832188884/
Nova Tec NT-S 50,FAVORIT,3832.0,+3.60%,https://hotline.ua/go/price/13540242599/
Nova Tec NT-S 50,Aquarius,3860.0,+4.35%,https://hotline.ua/go/price/13803123068/
Nova Tec NT-S 50,Закупись,3768.0,+1.87%,https://hotline.ua/go/price/13769150947/
Nova Tec NT-S 50,smart3d,3179.0,-14.06%,https://hotline.ua/go/price/13679834492/
Nova Tec NT-S 50,Техносайт,3199.0,-13.52%,https://hotline.ua/go/price/13738097797/
Nova Tec NT-S 50,Edlene (Life&land),3490.0,-5.65%,https://hotline.ua/go/price/13794531285/
Nova Tec NT-S 50,AXM,3599.0,-2.70%,https://hotline.ua/go/price/13692287236/
Nova Tec NT-S 50,MALLPRIX,3699.0,+0.00%,https://hotline.ua/go/price/13807254480/
Nova Tec NT-S 50,Magazun.com,3699.0,+0.00%,https://hotline.ua/go/price/13826742707/
Nova Tec NT-S 80,ВЕНКОН,4469.0,+5.28%,https://hotline.ua/go/price/13463151808/
Nova Tec NT-S 80,Instrumentarium,4539.0,+6.93%,https://hotline.ua/go/price/13780927177/
Nova Tec NT-S 80,ALLO.ua,4245.0,+0.00%,https://hotline.ua/go/price/13586927749/
Nova Tec NT-S 80,Click.ua,3760.0,-11.43%,https://hotline.ua/go/price/13740856861/
Nova Tec NT-S 80,Q-TECHNO,4001.0,-5.75%,https://hotline.ua/go/price/13791385295/
Nova Tec NT-S 80,ITbox.ua,4245.0,+0.00%,https://hotline.ua/go/price/13794105966/
Nova Tec NT-S 80,Brain.Комп'ютери/гаджети,4245.0,+0.00%,https://hotline.ua/go/price/13794345083/
Nova Tec NT-S 80,ФОКСТРОТ,4245.0,+0.00%,https://hotline.ua/go/price/13826964372/
Nova Tec NT-S 80,CLIMAGROUP,4523.0,+6.55%,https://hotline.ua/go/price/13500254019/
Nova Tec NT-S 80,Touch,3989.0,-6.03%,https://hotline.ua/go/price/13744980233/
Nova Tec NT-S 80,mbuy24.com,3704.0,-12.74%,https://hotline.ua/go/price/13741604299/
Nova Tec NT-S 80,Air Climate pro,4534.0,+6.81%,https://hotline.ua/go/price/13803606299/
Nova Tec NT-S 80,ELMIR.UA,4255.0,+0.24%,https://hotline.ua/go/price/13296379892/
Nova Tec NT-S 80,WO.UA,4245.0,+0.00%,https://hotline.ua/go/price/13741521312/
Nova Tec NT-S 80,TENDO.com.ua,4245.0,+0.00%,https://hotline.ua/go/price/13755544638/
Nova Tec NT-S 80,РЕЗИДЕНЦІЯ,4298.0,+1.25%,https://hotline.ua/go/price/13813808682/
Nova Tec NT-S 80,Arizona,3950.0,-6.95%,https://hotline.ua/go/price/13280531281/
Nova Tec NT-S 80,Tehnosvit,3790.0,-10.72%,https://hotline.ua/go/price/13781009972/
Nova Tec NT-S 80,Епіцентр,4245.0,+0.00%,https://hotline.ua/go/price/13821469214/
Nova Tec NT-S 80,Bitovoy.com.ua,3947.0,-7.02%,https://hotline.ua/go/price/13821386587/
Nova Tec NT-S 80,ТехноМарт,3809.0,-10.27%,https://hotline.ua/go/price/13637234928/
Nova Tec NT-S 80,Vodogreyka,4043.0,-4.76%,https://hotline.ua/go/price/13837804374/
Nova Tec NT-S 80,Teplovuk,3615.0,-14.84%,https://hotline.ua/go/price/13788444314/
Nova Tec NT-S 80,DENIKA.UA,3671.0,-13.52%,https://hotline.ua/go/price/13266718655/
Nova Tec NT-S 80,Інтернет магазин OpenShop,4469.0,+5.28%,https://hotline.ua/go/price/13769078494/
Nova Tec NT-S 80,F.ua „ТОЙ САМИЙ“ магазин,4245.0,+0.00%,https://hotline.ua/go/price/13643256887/
Nova Tec NT-S 80,АйТіФрі,3845.0,-9.42%,https://hotline.ua/go/price/13837037856/
Nova Tec NT-S 80,STYLUS,3794.0,-10.62%,https://hotline.ua/go/price/13816558378/
Nova Tec NT-S 80,ЭЛМАГ,3798.0,-10.53%,https://hotline.ua/go/price/13175764865/
Nova Tec NT-S 80,Світ Дім,6600.0,+55.48%,https://hotline.ua/go/price/13454637168/
Nova Tec NT-S 80,LEOX,4469.0,+5.28%,https://hotline.ua/go/price/13783874776/
Nova Tec NT-S 80,BigStore,4469.0,+5.28%,https://hotline.ua/go/price/13706431486/
Nova Tec NT-S 80,BT house,4452.0,+4.88%,https://hotline.ua/go/price/13792821475/
Nova Tec NT-S 80,Техномастер,3760.0,-11.43%,https://hotline.ua/go/price/13615674049/
Nova Tec NT-S 80,Цифра,3787.0,-10.79%,https://hotline.ua/go/price/13742661969/
Nova Tec NT-S 80,TehnoAge,3968.0,-6.53%,https://hotline.ua/go/price/13539629412/
Nova Tec NT-S 80,Дешевле Нет,3817.0,-10.08%,https://hotline.ua/go/price/13268307089/
Nova Tec NT-S 80,FoRoom,6195.0,+45.94%,https://hotline.ua/go/price/13604702793/
Nova Tec NT-S 80,Твій Дім,4112.0,-3.13%,https://hotline.ua/go/price/13426145818/
Nova Tec NT-S 80,МІКСЕР.store,3700.0,-12.84%,https://hotline.ua/go/price/13694419623/
Nova Tec NT-S 80,ТопТехник,3969.0,-6.50%,https://hotline.ua/go/price/13547093301/
Nova Tec NT-S 80,Tehnopostavka,4043.0,-4.76%,https://hotline.ua/go/price/13828607124/
Nova Tec NT-S 80,ТЕРМОГАЗ,3836.0,-9.63%,https://hotline.ua/go/price/13786690935/
Nova Tec NT-S 80,Інтернет-магазин АП,3790.0,-10.72%,https://hotline.ua/go/price/13837137834/
Nova Tec NT-S 80,ЕлектроМир,3998.0,-5.82%,https://hotline.ua/go/price/13608125445/
Nova Tec NT-S 80,ЖУК,3820.0,-10.01%,https://hotline.ua/go/price/13332417538/
Nova Tec NT-S 80,ТЕХНОСТАР,4478.0,+5.49%,https://hotline.ua/go/price/13741659814/
Nova Tec NT-S 80,Setevuha,4239.0,-0.14%,https://hotline.ua/go/price/13491259628/
Nova Tec NT-S 80,Leyka.com.ua,4524.0,+6.57%,https://hotline.ua/go/price/13782973383/
Nova Tec NT-S 80,XFROST,4245.0,+0.00%,https://hotline.ua/go/price/13827641228/
Nova Tec NT-S 80,Комплект,4002.0,-5.72%,https://hotline.ua/go/price/13478657161/
Nova Tec NT-S 80,TEHNOHATA.UA,3932.0,-7.37%,https://hotline.ua/go/price/13622712542/
Nova Tec NT-S 80,TEHNOS.UA,4209.0,-0.85%,https://hotline.ua/go/price/13738916363/
Nova Tec NT-S 80,iCom.net.ua,4245.0,+0.00%,https://hotline.ua/go/price/13839890776/
Nova Tec NT-S 80,Элдом,4200.0,-1.06%,https://hotline.ua/go/price/13452275442/
Nova Tec NT-S 80,ТВ МИР,4252.0,+0.16%,https://hotline.ua/go/price/13687223457/
Nova Tec NT-S 80,PROSTIR-TEPLA,4550.0,+7.18%,https://hotline.ua/go/price/13798180587/
Nova Tec NT-S 80,Нова Тек,4289.0,+1.04%,https://hotline.ua/go/price/13824525293/
Nova Tec NT-S 80,А-dream,3650.0,-14.02%,https://hotline.ua/go/price/13751810800/
Nova Tec NT-S 80,Maxishara,4019.0,-5.32%,https://hotline.ua/go/price/13786459814/
Nova Tec NT-S 80,FIXER,3913.0,-7.82%,https://hotline.ua/go/price/13437560167/
Nova Tec NT-S 80,НКТ,4256.0,+0.26%,https://hotline.ua/go/price/13715670537/
Nova Tec NT-S 80,ТЕХНОмаркет,4019.0,-5.32%,https://hotline.ua/go/price/13810179444/
Nova Tec NT-S 80,Sota Store,4245.0,+0.00%,https://hotline.ua/go/price/13832584011/
Nova Tec NT-S 80,Dom365,4524.0,+6.57%,https://hotline.ua/go/price/13753251756/
Nova Tec NT-S 80,Акваклимат,4687.0,+10.41%,https://hotline.ua/go/price/13650828690/
Nova Tec NT-S 80,TTT.UA,4245.0,+0.00%,https://hotline.ua/go/price/13832188640/
Nova Tec NT-S 80,FAVORIT,4491.0,+5.80%,https://hotline.ua/go/price/13540242602/
Nova Tec NT-S 80,Aquarius,4083.0,-3.82%,https://hotline.ua/go/price/13556588230/
Nova Tec NT-S 80,smart3d,3789.0,-10.74%,https://hotline.ua/go/price/13679834598/
Nova Tec NT-S 80,AXM,3999.0,-5.80%,https://hotline.ua/go/price/13692287406/
Nova Tec NT-S 80,Edlene (Life&land),4010.0,-5.54%,https://hotline.ua/go/price/13782681426/
Nova Tec NT-S 80,Техніка UA,4239.0,-0.14%,https://hotline.ua/go/price/13768580911/
Nova Tec NT-S 80,MALLPRIX,4245.0,+0.00%,https://hotline.ua/go/price/13807254531/
Nova Tec NT-S 80,Magazun.com,4245.0,+0.00%,https://hotline.ua/go/price/13826742718/
Nova Tec NT-S 80,kubik.store,4523.0,+6.55%,https://hotline.ua/go/price/13811207885/
Nova Tec NT-S 80,FARRO,4628.0,+9.02%,https://hotline.ua/go/price/13809447993/
Nova Tec NT-S 100,Instrumentarium,5206.0,+6.51%,https://hotline.ua/go/price/13780927250/
Nova Tec NT-S 100,ALLO.ua,4888.0,+0.00%,https://hotline.ua/go/price/13586927730/
Nova Tec NT-S 100,Click.ua,4255.0,-12.95%,https://hotline.ua/go/price/13829651123/
Nova Tec NT-S 100,Q-TECHNO,4483.0,-8.29%,https://hotline.ua/go/price/13787305983/
Nova Tec NT-S 100,ITbox.ua,4888.0,+0.00%,https://hotline.ua/go/price/13666199936/
Nova Tec NT-S 100,Keramis,4047.0,-17.21%,https://hotline.ua/go/price/13828383924/
Nova Tec NT-S 100,Touch,4399.0,-10.00%,https://hotline.ua/go/price/13744980240/
Nova Tec NT-S 100,mbuy24.com,4576.0,-6.38%,https://hotline.ua/go/price/13834554926/
Nova Tec NT-S 100,Air Climate pro,5200.0,+6.38%,https://hotline.ua/go/price/13803606294/
Nova Tec NT-S 100,ТЕХНОточка,3899.0,-20.23%,https://hotline.ua/go/price/13823507501/
Nova Tec NT-S 100,ELMIR.UA,4900.0,+0.25%,https://hotline.ua/go/price/13298792344/
Nova Tec NT-S 100,РЕЗИДЕНЦІЯ,4929.0,+0.84%,https://hotline.ua/go/price/13835552161/
Nova Tec NT-S 100,MTA.UA,4899.0,+0.23%,https://hotline.ua/go/price/13837723378/
Nova Tec NT-S 100,Arizona,4450.0,-8.96%,https://hotline.ua/go/price/13361669435/
Nova Tec NT-S 100,Епіцентр,4888.0,+0.00%,https://hotline.ua/go/price/13832192859/
Nova Tec NT-S 100,COMFY.UA,4889.0,+0.02%,https://hotline.ua/go/price/13834564485/
Nova Tec NT-S 100,TEHNO CHALLENGE,4370.0,-10.60%,https://hotline.ua/go/price/13742035962/
Nova Tec NT-S 100,ТЕПЛОХОЛОД,4310.0,-11.82%,https://hotline.ua/go/price/13695520667/
Nova Tec NT-S 100,ЕвроТепло,5188.0,+6.14%,https://hotline.ua/go/price/13828184928/
Nova Tec NT-S 100,ТехноМарт,4289.0,-12.25%,https://hotline.ua/go/price/13838036985/
Nova Tec NT-S 100,Vodogreyka,3829.0,-21.67%,https://hotline.ua/go/price/13837809629/
Nova Tec NT-S 100,Teplovuk,3861.0,-21.01%,https://hotline.ua/go/price/13788444344/
Nova Tec NT-S 100,Інтернет магазин OpenShop,4624.0,-5.40%,https://hotline.ua/go/price/13810356466/
Nova Tec NT-S 100,F.ua „ТОЙ САМИЙ“ магазин,4888.0,+0.00%,https://hotline.ua/go/price/13643256902/
Nova Tec NT-S 100,Climatika,4145.0,-15.20%,https://hotline.ua/go/price/13694133374/
Nova Tec NT-S 100,Enko,4085.0,-16.43%,https://hotline.ua/go/price/13659970784/
Nova Tec NT-S 100,АйТіФрі,4267.0,-12.70%,https://hotline.ua/go/price/13837038154/
Nova Tec NT-S 100,STYLUS,4315.0,-11.72%,https://hotline.ua/go/price/13824334099/
Nova Tec NT-S 100,Світ Дім,7340.0,+50.16%,https://hotline.ua/go/price/13454637169/
Nova Tec NT-S 100,CLIMAGROUP,4821.0,-1.37%,https://hotline.ua/go/price/13828261297/
Nova Tec NT-S 100,LEOX,5340.0,+9.25%,https://hotline.ua/go/price/13783874765/
Nova Tec NT-S 100,BigStore,5099.0,+4.32%,https://hotline.ua/go/price/13706468094/
Nova Tec NT-S 100,Техномастер,4255.0,-12.95%,https://hotline.ua/go/price/13723423738/
Nova Tec NT-S 100,Цифра,4307.0,-11.89%,https://hotline.ua/go/price/13824373599/
Nova Tec NT-S 100,TehnoAge,4888.0,+0.00%,https://hotline.ua/go/price/13681688649/
Nova Tec NT-S 100,Дешевле Нет,4244.0,-13.18%,https://hotline.ua/go/price/13281269166/
Nova Tec NT-S 100,ТЕХНОПРОФІ,4766.0,-2.50%,https://hotline.ua/go/price/13794142060/
Nova Tec NT-S 100,pro100market.com.ua,3799.0,-22.28%,https://hotline.ua/go/price/13827032585/
Nova Tec NT-S 100,FoRoom,4197.0,-14.14%,https://hotline.ua/go/price/13834260088/
Nova Tec NT-S 100,Znatok,4699.0,-3.87%,https://hotline.ua/go/price/13351495221/
Nova Tec NT-S 100,Твій Дім,4595.0,-5.99%,https://hotline.ua/go/price/13278400903/
Nova Tec NT-S 100,МІКСЕР.store,4338.0,-11.25%,https://hotline.ua/go/price/13694419595/
Nova Tec NT-S 100,ТопТехник,4395.0,-10.09%,https://hotline.ua/go/price/13606765026/
Nova Tec NT-S 100,Tehnopostavka,4553.0,-6.85%,https://hotline.ua/go/price/13828594169/
Nova Tec NT-S 100,ТЕРМОГАЗ,4537.0,-7.18%,https://hotline.ua/go/price/13834143388/
Nova Tec NT-S 100,ЗП-Техника (Zp-Tehnika),4680.0,-4.26%,https://hotline.ua/go/price/13538192739/
Nova Tec NT-S 100,CAN.UA,4888.0,+0.00%,https://hotline.ua/go/price/13830913687/
Nova Tec NT-S 100,Інтернет-магазин АП,4300.0,-12.03%,https://hotline.ua/go/price/13837137713/
Nova Tec NT-S 100,ЕлектроМир,4510.0,-7.73%,https://hotline.ua/go/price/13608125448/
Nova Tec NT-S 100,ЖУК,4539.0,-7.14%,https://hotline.ua/go/price/13260271940/
Nova Tec NT-S 100,ТЕХНОСТАР,5103.0,+4.40%,https://hotline.ua/go/price/13678186240/
Nova Tec NT-S 100,Setevuha,4711.0,-3.62%,https://hotline.ua/go/price/13491259439/
Nova Tec NT-S 100,Leyka.com.ua,5188.0,+6.14%,https://hotline.ua/go/price/13782973384/
Nova Tec NT-S 100,Комплект,4475.0,-8.45%,https://hotline.ua/go/price/13832148389/
Nova Tec NT-S 100,TEHNOHATA.UA,4396.0,-10.07%,https://hotline.ua/go/price/13830484287/
Nova Tec NT-S 100,iCom.net.ua,4888.0,+0.00%,https://hotline.ua/go/price/13839890360/
Nova Tec NT-S 100,Элдом,4872.0,-0.33%,https://hotline.ua/go/price/13452275402/
Nova Tec NT-S 100,ТВ МИР,4876.0,-0.25%,https://hotline.ua/go/price/13606426111/
Nova Tec NT-S 100,Нова Тек,4889.0,+0.02%,https://hotline.ua/go/price/13824525283/
Nova Tec NT-S 100,SMART MARKET,4889.0,+0.02%,https://hotline.ua/go/price/13838783826/
Nova Tec NT-S 100,Ассоль,4888.0,+0.00%,https://hotline.ua/go/price/13790706350/
Nova Tec NT-S 100,А-dream,4106.0,-16.00%,https://hotline.ua/go/price/13750431313/
Nova Tec NT-S 100,Maxishara,4569.0,-6.53%,https://hotline.ua/go/price/13839093602/
Nova Tec NT-S 100,Nimpha,4888.0,+0.00%,https://hotline.ua/go/price/13707911261/
Nova Tec NT-S 100,FIXER,4341.0,-11.19%,https://hotline.ua/go/price/13830204732/
Nova Tec NT-S 100,НКТ,5091.0,+4.15%,https://hotline.ua/go/price/13715670109/
Nova Tec NT-S 100,ТЕХНОмаркет,4181.0,-14.46%,https://hotline.ua/go/price/13763144708/
Nova Tec NT-S 100,Sota Store,4888.0,+0.00%,https://hotline.ua/go/price/13833831138/
Nova Tec NT-S 100,Dom365,5188.0,+6.14%,https://hotline.ua/go/price/13828256270/
Nova Tec NT-S 100,FAVORIT,5150.0,+5.36%,https://hotline.ua/go/price/13540242585/
Nova Tec NT-S 100,Aquarius,5188.0,+6.14%,https://hotline.ua/go/price/13828017459/
Nova Tec NT-S 100,smart3d,4237.0,-13.32%,https://hotline.ua/go/price/13832996325/
Nova Tec NT-S 100,Edlene (Life&land),4530.0,-7.32%,https://hotline.ua/go/price/13782680577/
Nova Tec NT-S 100,MALLPRIX,4888.0,+0.00%,https://hotline.ua/go/price/13807254534/
Nova Tec NT-S 100,Magazun.com,4888.0,+0.00%,https://hotline.ua/go/price/13826742719/
Nova Tec NT-S 100,Техніка UA,4889.0,+0.02%,https://hotline.ua/go/price/13820192512/
Nova Tec NT-S 100,AXM,4999.0,+2.27%,https://hotline.ua/go/price/13692287997/
Nova Tec NT-S 100,kubik.store,5187.0,+6.12%,https://hotline.ua/go/price/13811207891/
